aj1, aj2, aj3, s1j1, s1j2, s1j3, s2j1, s2j2, s2j3, s3j1, s3j2, s3j3, 
0.10141055283948988, 0.08078867022981381, 0.05998541048766004, 0.30908551247707455, 0.22546037717168022, 0.1865441164914125, 0.7001259339858625, 0.5388253901300686, 0.2830970105977569, 1.6951864977516495, 1.265366873028921, 0.7202288323812076, 
0.10061799862150524, 0.09139293783236024, 0.05816172118657251, 0.34118206913822, 0.24869483769994205, 0.18294750711186836, 0.6838722811493474, 0.5557583914533458, 0.28208169545007483, 1.6209093255701907, 1.0782165763918694, 0.6918317993214178, 
0.1064631126980084, 0.0866686090453116, 0.055274068904008704, 0.3288459877012846, 0.24834039299797692, 0.1824384891467533, 0.6721688574560334, 0.511577952169237, 0.2950185771833526, 1.6522699277947523, 1.1517366510750884, 0.7105524180382009, 
0.10043832223814995, 0.08673780802140149, 0.05608501304184241, 0.3026863809428214, 0.22212432206155416, 0.21263771491565353, 0.7562103552430081, 0.5413569771995577, 0.32365613880452515, 1.6968534198983556, 1.227297018531417, 0.7882219345142484, 
0.10318373293517592, 0.09637382540345123, 0.05414054606740647, 0.2958309187612983, 0.24490543777783386, 0.17162624525151537, 0.6626302221172963, 0.5485513890432491, 0.3351147291159487, 1.7224236326442017, 1.1576864324056741, 0.7341756753403378, 
0.11096484956671766, 0.08734490392528867, 0.06023026053616515, 0.3077946807624713, 0.27811849522029913, 0.2116771355053957, 0.6291544247636812, 0.5526616763055374, 0.3311985159835507, 1.6772520602554661, 1.2043668635271445, 0.8193173328646126, 
0.11270637766190801, 0.0805999051055672, 0.05740256038117638, 0.3417738638120122, 0.237978397276554, 0.16632122002469413, 0.6823090857153958, 0.4790513197614967, 0.30151048337198305, 1.662827653690311, 1.2504489230826452, 0.7096373543386562, 
0.10742375165195196, 0.08304838272344797, 0.06497812606582733, 0.30524925761742083, 0.2473668885658765, 0.16823826733008618, 0.7380102877555913, 0.5431226794921238, 0.3172356262419579, 1.5738228613044019, 1.2367058628155354, 0.7011815504325596, 
0.11107906832372179, 0.08725743046465578, 0.05778520172612164, 0.3009740868803161, 0.2538628667712575, 0.157904502322295, 0.6964407759068288, 0.5087088780886596, 0.27665546297372173, 1.6253110379559013, 1.1861550836589425, 0.7520858481845708, 
0.10751043268457339, 0.0857476257880421, 0.055526224149177114, 0.31975181627853333, 0.2427299258376614, 0.18286015765936428, 0.7156456332800172, 0.5530429972456352, 0.27805681969464296, 1.6947703249909358, 1.2380942890661375, 0.7244808589669876, 
0.11484446318882341, 0.08184537115777088, 0.05138384174167666, 0.33513714248125426, 0.28130420408073153, 0.1922434057648379, 0.7250851686055367, 0.5536898117968153, 0.2912217724182005, 1.7963867108288687, 1.222458782959899, 0.7334658680905148, 
0.1083260911150324, 0.08551764929242094, 0.05681486201615058, 0.2910781491846625, 0.204697423232047, 0.2134002019172482, 0.7253132644286338, 0.5121038899052498, 0.2725882761615958, 1.5992836764931007, 1.1585666506456502, 0.6873374097624525, 
0.10209315111401222, 0.08499673387128477, 0.06521428051299633, 0.3306737831189727, 0.2318981590520163, 0.18625651568704182, 0.725040009493367, 0.5633595969826894, 0.24548812106020862, 1.6743324876748502, 1.1404206501480338, 0.6500063484342914, 
0.10596616900654882, 0.0884872521527186, 0.055417032856796555, 0.3538569871042495, 0.22989156938369612, 0.17748339889321524, 0.6931736889540451, 0.536425187091654, 0.28282877145385343, 1.7072505079175757, 1.2927112001965333, 0.6735577233054083, 
0.10969921277048347, 0.08700912735680316, 0.06184701444319658, 0.309856911165184, 0.24939543847074766, 0.18939983415368802, 0.6895635363301257, 0.5765799022951553, 0.2659777464230409, 1.6402330579337159, 1.2295088982150904, 0.7682173739420459, 
0.10822740671770693, 0.08230303195639133, 0.0509122373026521, 0.3161541603326554, 0.27303032008372713, 0.1925844497771351, 0.6943937417405838, 0.47542898596007466, 0.2766739470275791, 1.5845089148090905, 1.103769060008718, 0.7854703125210558, 
