Time, In, Type, Out, Served, Server, Current Jobs
0.6156799258255131, 1, 1, , , , 1
1.073473154906928, , , , 1, 2, 1
1.1245630856494795, , , 1, , 3, 0
4.756236555310614, 2, 1, , , , 1
5.569269689779476, 3, 2, , , , 2
6.028853965008207, 4, 3, , , , 3
6.423228686262708, , , , 2, 2, 3
7.642980756848434, , , 2, , 3, 2
8.381463328954515, 5, 1, , , , 3
11.016592461339659, , , , 4, 2, 3
11.307351956685102, 6, 1, , , , 4
11.995542306198333, , , , 5, 2, 4
12.2182137780373, 7, 3, , , , 5
12.241817550119157, , , , 3, 1, 5
12.514333706654718, , , , 6, 1, 5
12.642129405665033, 8, 1, , , , 6
13.415800876599047, 9, 1, , , , 7
13.740852948079711, , , , 8, 2, 7
13.810762857657837, , , , 9, 2, 7
14.16374703695576, 10, 3, , , , 8
14.999854053462249, , , 4, , 3, 7
15.741075860826479, , , 5, , 3, 6
16.38498756631909, , , 3, , 3, 5
17.37045776916387, , , 6, , 3, 4
18.111972057505458, , , 8, , 3, 3
18.405834089023212, , , 9, , 3, 2
19.097140445330126, , , , 10, 2, 2
19.230282026291775, , , , 7, 1, 2
20.058593449960632, , , 10, , 3, 1
20.496608953518816, , , 7, , 3, 0
