Time, In, Type, Out, Served, Server, Current Jobs
0.40620583103686475, 1, 1, , , , 1
3.225519453766754, 2, 1, , , , 2
3.393032285419734, 3, 3, , , , 3
4.929852764307642, 4, 2, , , , 4
7.088637226663272, , , , 2, 2, 4
7.373810690167226, , , 2, , 3, 3
8.161759061610613, , , , 4, 2, 3
9.157848197441167, , , 4, , 3, 2
11.931515945097294, 5, 3, , , , 3
13.148596338421079, 6, 3, , , , 4
15.051044105112057, , , , 1, 1, 4
15.685494121378524, , , , 3, 1, 4
15.699064127757941, , , 1, , 3, 3
15.867219089235874, , , 3, , 3, 2
16.103732037352515, , , , 6, 1, 2
18.754013356978547, , , 6, , 3, 1
22.236427531755215, , , , 5, 2, 1
26.51485872661857, , , 5, , 3, 0
