Time, In, Type, Out, Served, Server, Current Jobs
4.236011169657427, 1, 3, , , , 1
4.394420306496176, 2, 1, , , , 2
5.833880855392784, , , , 2, 2, 2
5.942632128583844, 3, 1, , , , 3
5.984655080085853, , , 2, , 3, 2
14.529398366030602, 4, 1, , , , 3
25.610445239752945, 5, 2, , , , 4
27.028587018268855, 6, 1, , , , 5
33.21850333498994, 7, 3, , , , 6
34.52475552656613, , , , 1, 1, 6
35.489189213642526, , , 1, , 3, 5
37.561282029866206, , , , 3, 1, 5
38.47112161715105, , , 3, , 3, 4
39.71434679292654, 8, 1, , , , 5
40.37509770238113, 9, 1, , , , 6
41.38537981636847, , , , 4, 1, 6
41.886680351613364, , , , 5, 1, 6
44.485893451573546, , , , 6, 1, 6
44.96854924926016, , , 4, , 3, 5
45.44466762610686, , , 5, , 3, 4
45.93721002272306, , , 6, , 3, 3
47.322555143038315, , , , 7, 1, 3
48.24310198874546, 10, 1, , , , 4
48.48597710177035, 11, 1, , , , 5
49.0245520918017, , , , 10, 2, 5
49.06104361120417, , , 7, , 3, 4
49.109288557349885, , , , 11, 2, 4
49.257571317961606, , , 10, , 3, 3
49.288225434892745, , , 11, , 3, 2
51.94710851304108, 12, 3, , , , 3
53.48561584304912, , , , 8, 1, 3
53.72933947141271, , , 8, , 3, 2
54.2379579453802, 13, 1, , , , 3
54.86602164872662, , , , 9, 1, 3
54.955598929414165, , , , 13, 2, 3
55.203892938274464, , , 9, , 3, 2
55.22691625940067, , , 13, , 3, 1
62.08932262282042, 14, 2, , , , 2
66.64567486697385, 15, 2, , , , 3
67.00807100531601, , , , 12, 1, 3
67.10903933129957, 16, 1, , , , 4
67.87751879195947, , , 12, , 3, 3
70.79160104296132, 17, 1, , , , 4
70.94583517077903, 18, 2, , , , 5
72.04346236939254, 19, 2, , , , 6
72.79515205347835, 20, 2, , , , 7
72.91515651672871, , , , 18, 2, 7
74.5603397506405, , , 18, , 3, 6
75.19344465631143, , , , 20, 2, 6
76.30018855889332, , , 20, , 3, 5
76.83448096494158, , , , 14, 1, 5
77.55779372697488, 21, 3, , , , 6
77.62187611712802, , , 14, , 3, 5
79.4576282320949, , , , 15, 1, 5
79.59305952186244, , , 15, , 3, 4
83.705000299906, , , , 16, 1, 4
84.08702008742316, , , 16, , 3, 3
86.95113413737846, , , , 17, 1, 3
87.22449426713173, 22, 3, , , , 4
87.51398342232007, , , 17, , 3, 3
88.98034892575338, , , , 22, 2, 3
89.31970002316976, , , , 19, 1, 3
89.89617858469742, , , 22, , 3, 2
90.01992312120214, , , 19, , 3, 1
90.92612048631158, , , , 21, 1, 1
91.31275568605679, 23, 1, , , , 2
93.04117456374327, , , , 23, 2, 2
93.29586666472161, , , 21, , 3, 1
93.34318255545794, , , 23, , 3, 0
