Time, In, Type, Out, Served, Server, Current Jobs
2.013842433215992, 1, 2, , , , 1
2.0356949410813443, 2, 2, , , , 2
2.887368039498739, , , , 1, 2, 2
3.7849794135527257, 3, 2, , , , 3
4.146460956526342, , , 1, , 3, 2
4.638076144034924, , , , 2, 2, 2
5.53949756662784, , , 2, , 3, 1
7.015913641027302, 4, 1, , , , 2
7.274677897049423, , , , 3, 1, 2
7.282392896935996, , , 3, , 3, 1
8.117628551509682, 5, 2, , , , 2
10.011143512383104, , , , 4, 1, 2
10.509058062221257, , , 4, , 3, 1
10.568012874146968, , , , 5, 1, 1
11.452495824433655, 6, 1, , , , 2
11.955312766362681, , , , 6, 1, 2
12.462088626556692, , , 5, , 3, 1
12.796911959848057, , , 6, , 3, 0
