Time, In, Type, Out, Served, Server, Current Jobs
3.622274848476449, 1, 1, , , , 1
5.01866704383004, 2, 1, , , , 2
6.221729667510489, 3, 1, , , , 3
7.0331520120064726, , , , 3, 2, 3
7.425462394790141, 4, 1, , , , 4
9.025033298547042, , , 3, , 3, 3
10.30057381003146, , , , 1, 1, 3
10.667471846900204, , , 1, , 3, 2
12.811455206443176, , , , 2, 1, 2
13.108052175367138, , , 2, , 3, 1
15.065166451541412, 5, 2, , , , 2
15.253158588667715, 6, 1, , , , 3
17.11207558288795, , , , 4, 1, 3
17.26555537636232, 7, 3, , , , 4
18.416291856406907, , , 4, , 3, 3
18.752747244316723, , , , 5, 2, 3
19.412599735446136, , , 5, , 3, 2
21.89674704490209, , , , 7, 2, 2
22.24857467200151, , , 7, , 3, 1
23.849142132247394, , , , 6, 1, 1
24.451439718876397, 8, 2, , , , 2
25.077316655221267, , , , 8, 2, 2
25.38101887748716, 9, 2, , , , 3
25.438303846448044, 10, 3, , , , 4
25.51510404609762, , , 6, , 3, 3
25.76540265467844, , , 8, , 3, 2
26.192577451382498, 11, 1, , , , 3
26.56844711210497, , , , 9, 2, 3
26.89305145693267, , , 9, , 3, 2
26.95899444209519, 12, 1, , , , 3
27.93233473225639, , , , 10, 2, 3
28.109445330327134, , , 10, , 3, 2
29.65736262042067, , , , 11, 2, 2
29.89098230672778, , , 11, , 3, 1
29.990027581481346, , , , 12, 2, 1
30.04522857328111, , , 12, , 3, 0
