Time, In, Type, Out, Served, Server, Current Jobs
2.8873553640815244, 1, 2, , , , 1
3.6514936851342994, 2, 2, , , , 2
3.9230010317406316, 3, 1, , , , 3
5.561101698558519, , , , 3, 1, 3
5.728579775321706, , , 3, , 3, 2
8.869573209009335, 4, 1, , , , 3
12.779931927591768, , , , 1, 2, 3
13.722979570823961, , , 1, , 3, 2
16.16626090904394, 5, 2, , , , 3
18.00723072267276, 6, 1, , , , 4
19.672653435689547, , , , 2, 2, 4
19.910774325430015, , , , 4, 2, 4
20.23034709291077, , , 2, , 3, 3
20.53297427208205, , , 4, , 3, 2
21.399788711682746, , , , 5, 1, 2
21.56151230921004, , , 5, , 3, 1
24.022481111911635, , , , 6, 1, 1
24.047297858473815, , , 6, , 3, 0
