Time, In, Type, Out, Served, Server, Current Jobs
0.5811972308885187, 1, 3, , , , 1
2.3697722518604247, 2, 1, , , , 2
2.878695487759821, , , , 1, 2, 2
3.156255616741491, , , 1, , 3, 1
4.896440130207117, , , , 2, 2, 1
5.216725737848408, 3, 3, , , , 2
5.274717608931725, , , 2, , 3, 1
6.894396636359899, 4, 2, , , , 2
10.480706412188928, 5, 1, , , , 3
13.503454206267795, 6, 1, , , , 4
16.581466335324052, , , , 3, 2, 4
16.709724347109894, , , 3, , 3, 3
17.949927534349822, , , , 5, 2, 3
18.225183242073925, , , 5, , 3, 2
18.877162037842027, , , , 6, 2, 2
19.204531686306154, 7, 1, , , , 3
19.22899219721778, , , 6, , 3, 2
20.52168049175452, , , , 7, 2, 2
21.527753903625253, , , 7, , 3, 1
25.055810838949125, , , , 4, 1, 1
25.75765892969357, , , 4, , 3, 0
