Time, In, Type, Out, Served, Server, Current Jobs
4.833717624773258, 1, 3, , , , 1
9.918906428879028, 2, 1, , , , 2
16.491078374421225, 3, 1, , , , 3
18.322971324272473, 4, 2, , , , 4
19.27210031234703, , , , 1, 1, 4
19.7144142250701, 5, 2, , , , 5
20.208454911198544, , , 1, , 3, 4
20.70525314294085, 6, 3, , , , 5
22.25574030356753, , , , 2, 1, 5
22.48725618208789, , , 2, , 3, 4
24.87272355075711, , , , 3, 1, 4
25.06790936994798, , , 3, , 3, 3
26.77595866569064, , , , 6, 2, 3
26.8109071251678, , , 6, , 3, 2
28.995403319575804, , , , 4, 1, 2
30.104749787295304, , , 4, , 3, 1
31.192848406138314, 7, 1, , , , 2
48.29585402247376, , , , 5, 1, 2
49.065275297045915, , , 5, , 3, 1
50.37413837576104, 8, 2, , , , 2
50.75862551554699, , , , 7, 1, 2
51.09976832163084, , , 7, , 3, 1
51.980084729203874, 9, 2, , , , 2
52.17890149602466, 10, 1, , , , 3
53.38895222722702, , , , 8, 1, 3
54.03786664376795, , , , 9, 2, 3
54.65344371014167, , , 8, , 3, 2
55.0397894186593, , , 9, , 3, 1
57.83125395625744, , , , 10, 1, 1
58.253452303674216, , , 10, , 3, 0
