Time, In, Type, Out, Served, Server, Current Jobs
4.753274800383577, 1, 3, , , , 1
6.993283331358827, 2, 1, , , , 2
9.71707225459702, 3, 2, , , , 3
10.274747078636397, 4, 1, , , , 4
11.71018407019227, 5, 2, , , , 5
12.325180032048365, , , , 2, 2, 5
12.566528068642715, 6, 1, , , , 6
12.853204317294063, , , 2, , 3, 5
14.146099820415616, 7, 3, , , , 6
15.231790142783606, , , , 1, 1, 6
15.265901703411735, , , 1, , 3, 5
15.83055270398677, , , , 3, 2, 5
17.061494159287015, , , , 4, 2, 5
18.15578394460763, , , , 5, 1, 5
18.260676611729046, , , 3, , 3, 4
18.567738931304444, , , 4, , 3, 3
19.14694545335241, , , 5, , 3, 2
19.806710203783844, , , , 6, 2, 2
19.90209596931052, , , 6, , 3, 1
21.372285795893184, 8, 2, , , , 2
26.080353191316192, , , , 7, 1, 2
26.940920530781113, , , 7, , 3, 1
27.925626212399052, 9, 1, , , , 2
28.20215933907907, , , , 9, 2, 2
29.92499938751845, , , 9, , 3, 1
39.15350020511332, , , , 8, 1, 1
39.42147933669916, , , 8, , 3, 0
