Time, In, Type, Out, Served, Server, Current Jobs
0.655560901913053, 1, 2, , , , 1
3.549664014970683, 2, 2, , , , 2
5.745014692002876, , , , 2, 2, 2
7.226867262609361, , , 2, , 3, 1
8.817706691627157, 3, 1, , , , 2
9.072895564827567, , , , 3, 2, 2
9.104524342532343, , , 3, , 3, 1
11.568510237455376, 4, 1, , , , 2
11.640602734821972, , , , 4, 2, 2
11.867867810577486, , , 4, , 3, 1
19.568194341442513, 5, 1, , , , 2
19.704728116152282, , , , 5, 2, 2
20.026600552557344, , , 5, , 3, 1
21.77029289025005, , , , 1, 1, 1
22.097716677316168, , , 1, , 3, 0
