Time, In, Type, Out, Served, Server, Current Jobs
2.7155019251602783, 1, 3, , , , 1
4.661617122191352, 2, 1, , , , 2
5.004951889268825, , , , 2, 2, 2
6.207462361400834, , , 2, , 3, 1
6.397748069013827, 3, 3, , , , 2
8.67465786628481, , , , 3, 2, 2
9.517555713202716, , , 3, , 3, 1
12.841137156496265, , , , 1, 1, 1
15.048047115051855, 4, 1, , , , 2
15.4969266249957, 5, 1, , , , 3
16.299009468394683, 6, 3, , , , 4
17.207824222708776, , , , 4, 2, 4
17.8684844629453, 7, 3, , , , 5
17.928569747688893, , , , 6, 1, 5
18.923944125269287, , , , 5, 2, 5
19.86783715310683, , , , 7, 2, 5
22.119063866498394, , , 1, , 3, 4
22.271058374770693, , , 4, , 3, 3
22.482590308574235, 8, 1, , , , 4
24.611192318976432, , , 6, , 3, 3
24.88918438771181, , , 5, , 3, 2
25.629682396684714, , , 7, , 3, 1
26.265363361956712, , , , 8, 1, 1
27.741754364737375, , , 8, , 3, 0
