Time, In, Type, Out, Served, Server, Current Jobs
3.4644221919720284, 1, 2, , , , 1
6.001405257987393, 2, 3, , , , 2
6.767758561276763, , , , 2, 1, 2
7.0137093868665845, , , , 1, 2, 2
8.289733821520752, 3, 1, , , , 3
8.625991753450338, 4, 2, , , , 4
8.669381703653237, , , 2, , 3, 3
9.384252413685656, , , 1, , 3, 2
9.402624734502954, , , , 3, 2, 2
9.414711521393379, , , 3, , 3, 1
9.890233100304451, 5, 2, , , , 2
10.04536331555441, , , , 4, 2, 2
10.219295046536617, , , 4, , 3, 1
13.880917330880163, , , , 5, 2, 1
14.43257177153762, , , 5, , 3, 0
