Time, In, Type, Out, Served, Server, Current Jobs
2.1986986598981177, 1, 3, , , , 1
2.729522106358101, 2, 3, , , , 2
4.233133054037609, , , , 2, 2, 2
4.839238799433843, , , 2, , 3, 1
10.617106083985934, 3, 2, , , , 2
15.748330495242266, 4, 1, , , , 3
16.350665642059415, , , , 1, 1, 3
16.420210170246673, , , , 4, 2, 3
16.788956800480875, , , 1, , 3, 2
17.617498484767506, , , 4, , 3, 1
18.17891969648465, 5, 1, , , , 2
18.899537409509538, , , , 5, 2, 2
18.919517243131803, , , 5, , 3, 1
19.62616626130362, , , , 3, 1, 1
21.033198456328194, , , 3, , 3, 0
