Time, In, Type, Out, Served, Server, Current Jobs
0.37712047231016904, 1, 2, , , , 1
0.7361002900279607, 2, 3, , , , 2
3.3771909893710945, , , , 1, 2, 2
3.845787963549259, , , 1, , 3, 1
4.589497117033076, 3, 2, , , , 2
5.24583664700381, 4, 2, , , , 3
7.5179917043677635, , , , 2, 2, 3
8.421236817263985, , , , 3, 2, 3
8.443977456109025, 5, 1, , , , 4
8.648847772285597, , , 2, , 3, 3
8.655181679619572, , , , 4, 2, 3
9.486899144887376, , , 3, , 3, 2
10.09844985708717, , , , 5, 1, 2
10.872270972355906, , , 4, , 3, 1
11.129171541283997, , , 5, , 3, 0
