Time, In, Type, Out, Served, Server, Current Jobs
1.7019614892915287, 1, 2, , , , 1
2.85876344516826, 2, 1, , , , 2
4.784445538571869, 3, 1, , , , 3
5.501049830423237, , , , 1, 1, 3
6.36887919310207, , , 1, , 3, 2
8.911044082928141, , , , 2, 1, 2
9.185005178794034, 4, 2, , , , 3
10.171043084167497, , , 2, , 3, 2
11.913464292225836, , , , 3, 1, 2
12.726532303979761, , , 3, , 3, 1
13.122070765300611, 5, 3, , , , 2
13.181068071367848, , , , 5, 2, 2
13.454888722108828, , , 5, , 3, 1
13.756228250698578, , , , 4, 1, 1
13.94530499392819, 6, 2, , , , 2
14.751280593589787, , , , 6, 1, 2
14.80196566571089, 7, 1, , , , 3
14.993519203537632, , , 4, , 3, 2
15.309884721908576, , , 6, , 3, 1
15.88922403867143, , , , 7, 2, 1
19.96605820831896, , , 7, , 3, 0
