Time, In, Type, Out, Served, Server, Current Jobs
1.375580875507025, 1, 2, , , , 1
3.8256126258878353, 2, 1, , , , 2
4.044543990342495, , , , 2, 2, 2
4.200465563294947, , , 2, , 3, 1
7.243481579285529, 3, 2, , , , 2
7.270600435488123, 4, 2, , , , 3
7.592595534148061, , , , 1, 1, 3
8.443789494881663, , , 1, , 3, 2
8.916940753686095, , , , 3, 1, 2
9.520305668679915, , , , 4, 2, 2
10.59666966339391, 5, 2, , , , 3
10.754646300747494, 6, 2, , , , 4
11.368588509977663, , , 3, , 3, 3
11.58917462219622, , , 4, , 3, 2
12.211264220453435, , , , 6, 2, 2
13.202601206845118, 7, 1, , , , 3
13.783964167609103, , , , 5, 1, 3
13.993273940407278, , , 6, , 3, 2
14.339350518633493, , , 5, , 3, 1
14.514022145136503, 8, 3, , , , 2
16.10371111393969, , , , 7, 1, 2
16.762042178540632, , , 7, , 3, 1
17.910262383848817, , , , 8, 2, 1
18.98042871515465, 9, 1, , , , 2
21.102556500267582, , , 8, , 3, 1
23.020530023198507, , , , 9, 1, 1
23.794202405448615, , , 9, , 3, 0
