Time, In, Type, Out, Served, Server, Current Jobs
0.6261914617903294, 1, 2, , , , 1
0.6371121499018574, 2, 1, , , , 2
1.0515689651138356, , , , 1, 2, 2
2.026950803372239, , , 1, , 3, 1
2.2006404939919815, , , , 2, 2, 1
2.224603465576748, 3, 1, , , , 2
2.246483531071251, 4, 2, , , , 3
2.431784901569802, , , 2, , 3, 2
2.74862865897789, 5, 3, , , , 3
3.7591315936220617, 6, 3, , , , 4
12.11187156995893, , , , 3, 1, 4
12.544913584131317, , , 3, , 3, 3
16.384242019579666, , , , 4, 1, 3
16.486917530105906, , , 4, , 3, 2
16.79243528428228, 7, 2, , , , 3
19.570724377605416, , , , 7, 2, 3
19.887619928057436, 8, 2, , , , 4
20.22992660219002, , , 7, , 3, 3
21.5044667489165, 9, 3, , , , 4
23.743178361536295, , , , 5, 1, 4
24.824464522623884, , , 5, , 3, 3
26.483496474785905, 10, 3, , , , 4
29.105578636570623, 11, 3, , , , 5
32.32569702149649, 12, 3, , , , 6
33.58278705562647, , , , 10, 2, 6
35.27337259756228, , , 10, , 3, 5
36.26000859548813, , , , 12, 2, 5
40.334944710219396, , , 12, , 3, 4
40.37590413716601, , , , 6, 1, 4
40.86585354234316, , , 6, , 3, 3
42.047274437344704, , , , 8, 1, 3
43.18935958096811, , , , 9, 1, 3
43.23729813076892, , , 8, , 3, 2
45.344669820687166, , , 9, , 3, 1
46.472027190190616, , , , 11, 1, 1
47.635174679912076, , , 11, , 3, 0
