Time, In, Type, Out, Served, Server, Current Jobs
1.2260794039452698, 1, 3, , , , 1
6.643416845201102, 2, 3, , , , 2
16.78118460939949, 3, 3, , , , 3
19.787699098588906, , , , 1, 1, 3
20.77882958124467, 4, 2, , , , 4
22.23231054884197, , , , 2, 1, 4
23.10654407607892, 5, 2, , , , 5
23.821363573419227, , , 1, , 3, 4
24.082951487728025, , , 2, , 3, 3
26.95391321920633, , , , 3, 2, 3
27.239931891326812, , , , 4, 2, 3
28.857036223860202, , , 3, , 3, 2
29.83265033155897, , , 4, , 3, 1
31.16176964596452, , , , 5, 1, 1
31.43853959604238, 6, 1, , , , 2
31.570128411651886, , , 5, , 3, 1
33.69271075895137, , , , 6, 1, 1
33.847165323217226, , , 6, , 3, 0
