Time, In, Type, Out, Served, Server, Current Jobs
2.0990003768126595, 1, 1, , , , 1
5.9894757230379225, 2, 1, , , , 2
8.499003128665517, 3, 2, , , , 3
9.176378221608717, , , , 3, 2, 3
9.682114225013432, , , 3, , 3, 2
12.186935983066018, 4, 2, , , , 3
12.696040773075257, , , , 1, 1, 3
15.825852876472537, , , 1, , 3, 2
18.66477740236074, , , , 2, 1, 2
19.06091103999995, , , 2, , 3, 1
25.064562056277346, 5, 1, , , , 2
27.050698679019288, , , , 4, 1, 2
27.154067066042604, , , 4, , 3, 1
28.068474496430426, , , , 5, 1, 1
28.260551625284872, , , 5, , 3, 0
