Time, In, Type, Out, Served, Server, Current Jobs
2.8677199381425043, 1, 2, , , , 1
5.549097368575066, 2, 2, , , , 2
7.79496713356697, 3, 3, , , , 3
8.179503186921858, 4, 2, , , , 4
8.739361906580951, , , , 1, 1, 4
8.900183031879587, , , , 2, 2, 4
9.07273167078353, , , , 3, 2, 4
9.49659614563893, , , 1, , 3, 3
10.358307522379945, , , 2, , 3, 2
12.386431055218598, , , 3, , 3, 1
16.531753527133993, 5, 1, , , , 2
16.714944290537975, , , , 4, 1, 2
16.75608742105738, , , , 5, 2, 2
17.559277086925345, , , 4, , 3, 1
18.298053533887245, , , 5, , 3, 0
