Time, In, Type, Out, Served, Server, Current Jobs
3.151861148465061, 1, 1, , , , 1
4.190750174229973, 2, 2, , , , 2
4.288819880503862, , , , 2, 2, 2
6.596508770977823, , , 2, , 3, 1
10.240557246024602, 3, 3, , , , 2
10.251359339856851, 4, 2, , , , 3
10.300890135464925, , , , 4, 2, 3
10.930629756481903, , , 4, , 3, 2
11.416832237550148, 5, 2, , , , 3
14.459993909241348, , , , 5, 2, 3
14.753272498186375, , , 5, , 3, 2
14.832993516439291, 6, 2, , , , 3
15.656061666597257, 7, 1, , , , 4
15.874404417323971, , , , 7, 2, 4
15.968829573189579, , , 7, , 3, 3
16.243694751110237, 8, 1, , , , 4
16.48753884759418, 9, 3, , , , 5
16.849999617523014, , , , 8, 2, 5
17.341938493610918, , , , 1, 1, 5
17.712162555901592, , , 8, , 3, 4
17.921786655495065, , , 1, , 3, 3
19.66786802977407, 10, 1, , , , 4
21.731078444839458, 11, 2, , , , 5
23.672810760822767, , , , 11, 2, 5
25.65391808722212, , , 11, , 3, 4
26.69565390025587, , , , 3, 1, 4
27.821437456230598, , , 3, , 3, 3
34.432270373183975, , , , 6, 1, 3
34.444105975309725, , , 6, , 3, 2
38.15873764818199, 12, 1, , , , 3
38.7549197803697, , , , 9, 1, 3
39.20816648653796, , , , 10, 1, 3
39.63125632163102, , , , 12, 1, 3
40.793303918411844, , , 9, , 3, 2
41.052952331127976, , , 10, , 3, 1
41.320486220564405, , , 12, , 3, 0
