Time, In, Type, Out, Served, Server, Current Jobs
0.5590130113835474, 1, 3, , , , 1
2.7289609762199194, 2, 2, , , , 2
11.356807031236022, 3, 2, , , , 3
17.61299561081781, , , , 1, 1, 3
17.872094984656993, , , , 2, 1, 3
18.347403848550513, 4, 3, , , , 4
18.921253898575284, , , , 4, 2, 4
19.903869850910155, 5, 3, , , , 5
20.92604555349726, , , 1, , 3, 4
21.35423424646416, , , , 3, 1, 4
21.574414747667088, , , 2, , 3, 3
22.461767451668536, , , , 5, 1, 3
22.539191545421254, 6, 1, , , , 4
22.593299710845635, , , 4, , 3, 3
22.931433196353645, , , 3, , 3, 2
23.365321835969695, , , 5, , 3, 1
24.003697933590562, , , , 6, 1, 1
26.64890448967, , , 6, , 3, 0
