Time, In, Type, Out, Served, Server, Current Jobs
2.4059460019805408, 1, 3, , , , 1
2.56999464117095, , , , 1, 2, 1
2.725089983618474, , , 1, , 3, 0
4.29148365721, 2, 2, , , , 1
4.973853258342112, , , , 2, 2, 1
5.424461075179428, 3, 1, , , , 2
5.709104235876806, , , 2, , 3, 1
7.5967932002719385, 4, 1, , , , 2
11.629207837126307, , , , 3, 1, 2
12.022057955126261, , , 3, , 3, 1
14.726666384023464, 5, 1, , , , 2
14.914607939375072, 6, 1, , , , 3
14.983280305280875, 7, 2, , , , 4
15.071828265390995, , , , 5, 2, 4
15.957109086474848, , , , 4, 1, 4
16.03481682409014, , , 5, , 3, 3
16.056299580715837, , , 4, , 3, 2
17.468153931131617, 8, 2, , , , 3
19.60317535747843, 9, 3, , , , 4
19.72568802299695, , , , 6, 1, 4
20.90565113250432, , , , 7, 1, 4
21.00995302164414, 10, 2, , , , 5
21.136285260361955, , , 6, , 3, 4
21.364007981814364, , , , 8, 1, 4
21.815429492243684, 11, 2, , , , 5
21.842105508898477, 12, 2, , , , 6
21.945699164057388, , , , 9, 1, 6
21.994980801413607, , , , 11, 1, 6
22.47536400582518, , , , 10, 2, 6
22.541586391120767, , , 7, , 3, 5
22.892087798857162, , , 8, , 3, 4
23.17180742286164, , , 9, , 3, 3
23.214340088881883, , , , 12, 2, 3
24.70049668476016, , , 11, , 3, 2
24.73519812523088, , , 10, , 3, 1
25.113467349020436, , , 12, , 3, 0
