Time, In, Type, Out, Served, Server, Current Jobs
0.15394263126948446, 1, 2, , , , 1
1.6579974673345435, 2, 3, , , , 2
4.921479128166775, , , , 2, 2, 2
6.880471243647685, , , 2, , 3, 1
7.675979649671364, 3, 1, , , , 2
9.581875889882264, 4, 2, , , , 3
10.589740893152603, , , , 1, 1, 3
10.630001367579155, , , , 4, 2, 3
10.992471718999266, , , 1, , 3, 2
11.41539831321569, 5, 2, , , , 3
11.475311559995292, , , 4, , 3, 2
11.525557670797536, , , , 3, 1, 2
11.702733449270413, , , 3, , 3, 1
12.576596827892656, , , , 5, 1, 1
13.072703256594414, , , 5, , 3, 0
