Time, In, Type, Out, Served, Server, Current Jobs
4.227900113796994, 1, 2, , , , 1
6.379844445877531, 2, 1, , , , 2
8.094197894240313, 3, 2, , , , 3
8.09990475832957, , , , 1, 2, 3
8.144558605364463, , , 1, , 3, 2
8.358140453113036, , , , 2, 1, 2
8.786560186055775, , , 2, , 3, 1
10.73177896476123, 4, 1, , , , 2
14.351142923061373, 5, 1, , , , 3
15.099856649387116, , , , 5, 1, 3
15.789050550381411, , , 5, , 3, 2
16.39244686889559, 6, 2, , , , 3
17.049714620289276, , , , 3, 2, 3
17.721704478079396, , , 3, , 3, 2
18.15600450467746, , , , 4, 2, 2
18.43424728008993, , , 4, , 3, 1
21.344422967715325, , , , 6, 1, 1
21.53469759865184, , , 6, , 3, 0
