Time, In, Type, Out, Served, Server, Current Jobs
4.452942646635474, 1, 3, , , , 1
4.857912632421359, 2, 1, , , , 2
4.8953154738223414, 3, 2, , , , 3
5.390548733167471, 4, 3, , , , 4
5.496331374309608, , , , 1, 2, 4
5.8048520923799956, , , 1, , 3, 3
7.09715391792897, , , , 3, 1, 3
7.56040511935837, , , , 2, 2, 3
7.947798699936791, , , 3, , 3, 2
8.439033481934118, , , 2, , 3, 1
15.57657778440721, 5, 2, , , , 2
16.715010715668054, , , , 5, 2, 2
17.006198266754254, , , , 4, 1, 2
17.066455254910135, , , 5, , 3, 1
18.066886206779344, , , 4, , 3, 0
