Time, In, Type, Out, Served, Server, Current Jobs
4.656701557851839, 1, 2, , , , 1
5.312065662506018, , , , 1, 2, 1
5.734660489376827, 2, 1, , , , 2
5.880584067609044, 3, 3, , , , 3
5.977512575628585, , , , 2, 2, 3
6.3716811427532845, , , 1, , 3, 2
6.942353267177067, , , 2, , 3, 1
10.436632660953155, 4, 1, , , , 2
11.471143341198786, 5, 2, , , , 3
15.58017260105343, , , , 3, 2, 3
17.35467037142872, , , 3, , 3, 2
17.547214134683077, 6, 3, , , , 3
21.361716250461114, 7, 1, , , , 4
23.960614847558343, , , , 7, 2, 4
24.809966808150097, , , 7, , 3, 3
25.320264995515657, 8, 2, , , , 4
25.795771802903705, , , , 4, 1, 4
26.02246697386755, , , , 5, 1, 4
26.075440840881168, , , , 8, 2, 4
26.864140130601488, , , 4, , 3, 3
27.963505373711943, 9, 1, , , , 4
28.44099955200834, , , 5, , 3, 3
28.4915939534355, 10, 2, , , , 4
28.525101524686676, , , , 10, 2, 4
29.70243619317559, 11, 1, , , , 5
31.16984400258842, 12, 1, , , , 6
31.856893624831258, , , 8, , 3, 5
32.97659299389471, , , 10, , 3, 4
33.783630228226755, , , , 6, 1, 4
34.77118990263175, 13, 2, , , , 5
35.22530633807823, 14, 1, , , , 6
35.23871540417275, , , 6, , 3, 5
35.342527031741724, , , , 13, 2, 5
35.35926150995613, , , , 14, 2, 5
35.43941742950696, 15, 1, , , , 6
35.552822377546654, , , , 15, 2, 6
36.04635392107174, , , 13, , 3, 5
36.95581652012094, , , 14, , 3, 4
37.24945544109052, , , 15, , 3, 3
41.058386480636365, , , , 9, 1, 3
41.38026707223988, , , 9, , 3, 2
45.72019696737563, , , , 11, 1, 2
45.77735937023988, , , 11, , 3, 1
45.95723035510658, , , , 12, 1, 1
46.07174520984279, , , 12, , 3, 0
