Time, In, Type, Out, Served, Server, Current Jobs
0.911850638422621, 1, 3, , , , 1
1.9652942302388627, 2, 2, , , , 2
3.472627223485099, 3, 3, , , , 3
7.046135722098599, 4, 3, , , , 4
7.806027132209813, , , , 1, 2, 4
8.439603368547223, , , , 2, 2, 4
8.866635865455606, , , , 3, 1, 4
10.246358161775271, , , 1, , 3, 3
10.401166596690508, , , 2, , 3, 2
10.416619789430667, 5, 1, , , , 3
11.201474621031203, , , 3, , 3, 2
11.694638928203936, , , , 5, 2, 2
12.00138447383593, , , 5, , 3, 1
12.682296365325803, 6, 1, , , , 2
13.845680707686602, , , , 6, 2, 2
14.061702533016003, , , 6, , 3, 1
16.96027134123449, 7, 2, , , , 2
17.733434719713443, 8, 1, , , , 3
21.597229201862696, , , , 7, 2, 3
22.55837380911165, 9, 1, , , , 4
23.17994874788422, , , 7, , 3, 3
24.276266675529204, , , , 4, 1, 3
24.481487559884897, , , , 8, 1, 3
25.09571990416708, , , 4, , 3, 2
25.371149753861644, , , 8, , 3, 1
29.871394558619308, , , , 9, 1, 1
30.56987920481418, , , 9, , 3, 0
