Time, In, Type, Out, Served, Server, Current Jobs
4.108695765720994, 1, 2, , , , 1
7.297315237864043, 2, 3, , , , 2
7.675999879932465, , , , 1, 1, 2
8.779721906373378, , , 1, , 3, 1
9.457759651093813, 3, 1, , , , 2
9.837944457494457, 4, 2, , , , 3
9.951198697497581, 5, 3, , , , 4
10.877214276291252, , , , 2, 1, 4
11.094814341817319, , , 2, , 3, 3
15.612053435262496, , , , 3, 1, 3
15.635006835429492, , , 3, , 3, 2
17.017997998824733, , , , 4, 1, 2
17.085331587191504, , , 4, , 3, 1
17.38590922923287, , , , 5, 1, 1
18.151625533971508, , , 5, , 3, 0
