Time, In, Type, Out, Served, Server, Current Jobs
1.005221129427619, 1, 3, , , , 1
13.301895595344908, 2, 3, , , , 2
16.305894734153288, , , , 1, 2, 2
17.67071071061034, 3, 2, , , , 3
17.68091094757252, , , , 3, 2, 3
20.036855040501333, 4, 2, , , , 4
20.980488172329906, 5, 1, , , , 5
21.829541622057697, , , , 5, 2, 5
22.015937170183946, , , , 2, 1, 5
22.01843181950026, , , 1, , 3, 4
22.910288025645432, , , , 4, 1, 4
24.41907957513653, , , 3, , 3, 3
24.430272644848245, 6, 1, , , , 4
24.536436388917284, , , 5, , 3, 3
24.8924090020022, , , , 6, 1, 3
25.22231053595725, , , 2, , 3, 2
26.21486179855242, , , 4, , 3, 1
27.719354160265194, 7, 1, , , , 2
28.278727959668522, , , , 7, 2, 2
30.79426099030372, , , 6, , 3, 1
31.18026509956766, , , 7, , 3, 0
