Time, In, Type, Out, Served, Server, Current Jobs
2.6388035893618764, 1, 3, , , , 1
8.317462781233823, 2, 2, , , , 2
9.304129991912742, , , , 1, 2, 2
9.517269534243813, , , 1, , 3, 1
13.712318405695143, , , , 2, 1, 1
14.74033662316418, 3, 1, , , , 2
15.335952245965167, , , 2, , 3, 1
16.354549086119693, 4, 2, , , , 2
16.40343245575094, , , , 4, 1, 2
16.42019295862507, , , , 3, 2, 2
16.761674101398242, 5, 2, , , , 3
16.98110379112859, , , , 5, 1, 3
17.657905792819747, , , 4, , 3, 2
20.318334042572364, , , 3, , 3, 1
22.773163910341065, , , 5, , 3, 0
