Time, In, Type, Out, Served, Server, Current Jobs
0.0030833860006194745, 1, 3, , , , 1
3.53146804788817, 2, 1, , , , 2
3.764035863622978, 3, 2, , , , 3
6.277733961685244, , , , 3, 2, 3
7.287937518538018, , , 3, , 3, 2
11.821841512001415, 4, 3, , , , 3
12.746544613267567, , , , 4, 2, 3
12.909633797602895, , , 4, , 3, 2
14.061003091780282, 5, 1, , , , 3
16.453175557298415, , , , 1, 1, 3
16.78678342375752, , , 1, , 3, 2
16.97674403886164, , , , 2, 1, 2
17.584716341559513, , , , 5, 1, 2
17.72590486008165, 6, 2, , , , 3
18.695463922783713, , , 2, , 3, 2
18.86813530757949, , , 5, , 3, 1
19.085161657616855, 7, 1, , , , 2
20.652650154811585, , , , 6, 1, 2
20.68800203845274, , , 6, , 3, 1
20.882239569273878, , , , 7, 1, 1
21.8515012206456, , , 7, , 3, 0
