Time, In, Type, Out, Served, Server, Current Jobs
2.021902177045412, 1, 1, , , , 1
5.40551495239164, 2, 3, , , , 2
7.080250871767024, , , , 2, 2, 2
7.544666633399021, , , 2, , 3, 1
8.456788034978455, 3, 1, , , , 2
8.646978325275926, 4, 2, , , , 3
8.725280583005807, , , , 4, 2, 3
8.983124480191437, , , 4, , 3, 2
9.003159242764097, 5, 2, , , , 3
10.1681590480975, , , , 5, 2, 3
10.472578137885167, , , , 1, 1, 3
10.9536279777398, , , 5, , 3, 2
11.151137780674786, , , 1, , 3, 1
11.772944225876445, , , , 3, 1, 1
11.894093570833888, , , 3, , 3, 0
