Time, In, Type, Out, Served, Server, Current Jobs
0.21197611402729555, 1, 3, , , , 1
0.48280728799463346, 2, 2, , , , 2
1.1302312982917597, , , , 2, 1, 2
1.2223480771782134, 3, 3, , , , 3
1.9695742187378105, , , 2, , 3, 2
4.101406511655464, 4, 1, , , , 3
12.195503079681409, , , , 1, 2, 3
13.869192737344559, , , 1, , 3, 2
14.168974003266536, 5, 1, , , , 3
14.562762349764833, , , , 3, 2, 3
15.049171592218297, , , 3, , 3, 2
16.10182959417765, 6, 3, , , , 3
16.67475182063316, , , , 4, 2, 3
17.559517038165144, , , , 5, 1, 3
18.13603906719468, , , 4, , 3, 2
18.223391116044517, 7, 2, , , , 3
18.659817097473233, , , 5, , 3, 2
21.16362864835692, 8, 1, , , , 3
25.873694617896366, 9, 1, , , , 4
27.78829146246764, , , , 6, 1, 4
28.836912698772416, , , 6, , 3, 3
30.763940879658186, 10, 1, , , , 4
31.069850467386335, , , , 7, 1, 4
31.181629937267893, 11, 2, , , , 5
31.18188441129533, , , , 10, 2, 5
31.365858809214902, , , 7, , 3, 4
31.41237271206376, , , 10, , 3, 3
31.75234462897066, , , , 8, 1, 3
32.25352728822298, , , 8, , 3, 2
32.53455480288325, , , , 9, 1, 2
33.04705679969215, , , 9, , 3, 1
34.45307677115627, 12, 1, , , , 2
34.45483707071205, , , , 12, 2, 2
35.16745585811558, , , 12, , 3, 1
36.87916752063779, , , , 11, 1, 1
37.68902548206459, , , 11, , 3, 0
