Time, In, Type, Out, Served, Server, Current Jobs
0.03268344028945471, 1, 3, , , , 1
0.17404607373300668, , , , 1, 2, 1
0.5706929959110985, , , 1, , 3, 0
1.9618982355800325, 2, 1, , , , 1
2.1108601992161202, 3, 3, , , , 2
3.1768587356417437, 4, 1, , , , 3
4.8080588428831454, , , , 4, 2, 3
5.301656376959403, 5, 2, , , , 4
5.580911346127465, 6, 2, , , , 5
6.020735553823802, , , , 2, 1, 5
6.080520076516193, , , , 3, 1, 5
7.00647295334023, , , 4, , 3, 4
7.624946938146517, , , , 5, 1, 4
9.230135209504887, , , , 6, 2, 4
9.741317390314212, , , 2, , 3, 3
11.514689874612793, , , 3, , 3, 2
11.93830819263826, , , 5, , 3, 1
13.17726105115844, 7, 2, , , , 2
14.045400215222651, , , , 7, 1, 2
14.72893064231215, , , 6, , 3, 1
14.775527783219083, 8, 3, , , , 2
14.813670599585304, , , 7, , 3, 1
15.684911158458178, 9, 3, , , , 2
16.51753267513556, , , , 9, 1, 2
16.894008257768615, , , , 8, 2, 2
17.515982841338232, 10, 2, , , , 3
18.47352608605926, , , 9, , 3, 2
18.664477592907843, , , , 10, 2, 2
20.04522108658252, , , 8, , 3, 1
21.018159109838823, , , 10, , 3, 0
