Time, In, Type, Out, Served, Server, Current Jobs
1.6533373218039162, 1, 2, , , , 1
2.548481012733382, 2, 2, , , , 2
3.015804144351967, 3, 3, , , , 3
3.113121188795528, , , , 1, 2, 3
3.501816664330705, , , , 2, 2, 3
3.545506653277488, , , 1, , 3, 2
4.45568756193253, , , 2, , 3, 1
5.699802738856003, , , , 3, 2, 1
6.944954761926206, 4, 1, , , , 2
7.178605312782971, , , 3, , 3, 1
10.898501545224091, 5, 2, , , , 2
12.44398658618097, , , , 4, 1, 2
12.54023717776088, , , 4, , 3, 1
12.589357134355685, 6, 1, , , , 2
12.86759835913092, , , , 6, 1, 2
13.690920282427092, , , , 5, 2, 2
14.87227906645476, , , 6, , 3, 1
15.285507577962685, , , 5, , 3, 0
