Time, In, Type, Out, Served, Server, Current Jobs
0.14492471334247195, 1, 3, , , , 1
1.5778226341659447, 2, 2, , , , 2
1.787582258207253, , , , 1, 2, 2
3.6313859425105, , , 1, , 3, 1
3.695690608675476, , , , 2, 1, 1
3.941399071676474, , , 2, , 3, 0
4.16927168119386, 3, 2, , , , 1
4.44757735537364, , , , 3, 1, 1
5.41642194493406, 4, 3, , , , 2
5.469236070106272, , , , 4, 1, 2
5.679053399203187, 5, 3, , , , 3
7.255882360282314, , , 3, , 3, 2
7.584041620108641, , , 4, , 3, 1
11.553865612983868, , , , 5, 1, 1
12.978199136240113, , , 5, , 3, 0
