Time, In, Type, Out, Served, Server, Current Jobs
0.1876591310168962, 1, 3, , , , 1
1.6633012936369935, 2, 2, , , , 2
5.111659731213368, , , , 1, 2, 2
5.7402720820915265, 3, 2, , , , 3
7.045780904855031, , , 1, , 3, 2
8.250655556778808, , , , 2, 2, 2
8.711972996531392, , , 2, , 3, 1
11.20998474297404, , , , 3, 2, 1
12.248026872757297, 4, 3, , , , 2
13.633386096113924, 5, 1, , , , 3
13.859411107853102, , , 3, , 3, 2
14.214858564471347, 6, 1, , , , 3
19.464193937853445, , , , 4, 2, 3
20.43368638950611, , , , 5, 2, 3
20.680094442252276, , , , 6, 2, 3
20.996314313934757, , , 4, , 3, 2
21.556707907921304, , , 5, , 3, 1
21.742177762451114, , , 6, , 3, 0
