Time, In, Type, Out, Served, Server, Current Jobs
3.159350332809683, 1, 2, , , , 1
3.4873422813979666, 2, 1, , , , 2
5.3827886537118665, 3, 2, , , , 3
12.82167862723394, 4, 2, , , , 4
17.32471889436516, , , , 1, 1, 4
20.684397584547355, , , 1, , 3, 3
26.420688028234796, , , , 2, 1, 3
26.553305376641955, , , 2, , 3, 2
27.26011712292474, , , , 3, 1, 2
29.24137921262421, , , 3, , 3, 1
31.463400530229038, 5, 1, , , , 2
31.711077184392547, , , , 4, 1, 2
32.72510492983618, , , 4, , 3, 1
33.46142272141155, 6, 2, , , , 2
34.429675885443075, , , , 6, 2, 2
35.08296681732137, , , 6, , 3, 1
40.59909933657074, , , , 5, 1, 1
41.462243299393094, , , 5, , 3, 0
