Time, In, Type, Out, Served, Server, Current Jobs
0.4901297155346924, 1, 3, , , , 1
4.969879973901573, 2, 1, , , , 2
5.684692323951113, 3, 1, , , , 3
8.764161702533412, , , , 2, 1, 3
9.255329491868448, , , 2, , 3, 2
11.829232647042812, 4, 2, , , , 3
16.2878505616421, 5, 1, , , , 4
21.538857266421704, , , , 1, 2, 4
22.092197926923195, , , 1, , 3, 3
22.408281675666252, , , , 3, 2, 3
22.44720999680319, , , , 4, 2, 3
23.226215630216352, , , 3, , 3, 2
23.355587118582733, , , 4, , 3, 1
26.950779799599133, , , , 5, 2, 1
27.276685125375284, , , 5, , 3, 0
