Time, In, Type, Out, Served, Server, Current Jobs
4.049538466753158, 1, 2, , , , 1
6.109472155350906, 2, 2, , , , 2
7.488145075083755, 3, 2, , , , 3
7.693429117340874, , , , 3, 2, 3
7.735065699633697, , , 3, , 3, 2
10.292058172298002, , , , 1, 1, 2
13.521811295786652, , , 1, , 3, 1
16.829014291960636, 4, 2, , , , 2
20.430324945155654, 5, 2, , , , 3
21.29279088129299, , , , 2, 1, 3
21.56940736961543, , , , 4, 1, 3
22.028014817396347, , , 2, , 3, 2
23.020626812418385, , , 4, , 3, 1
23.91950236298186, , , , 5, 1, 1
26.31241704791248, , , 5, , 3, 0
