Time, In, Type, Out, Served, Server, Current Jobs
1.4595551387473573, 1, 2, , , , 1
2.9790954980273927, 2, 3, , , , 2
3.128052186408028, 3, 3, , , , 3
10.60081563911346, , , , 1, 2, 3
10.634363385207086, , , 1, , 3, 2
12.351581304707587, 4, 1, , , , 3
13.877691254067045, 5, 3, , , , 4
16.93138754326609, , , , 2, 1, 4
17.232917636746006, , , 2, , 3, 3
18.32209746553878, , , , 3, 1, 3
19.111562646352436, , , 3, , 3, 2
22.38058974175771, , , , 4, 1, 2
22.415342945737347, , , 4, , 3, 1
28.639434593880267, , , , 5, 1, 1
29.462163613651256, 6, 1, , , , 2
31.404015044360296, , , 5, , 3, 1
32.16483854097337, , , , 6, 1, 1
32.235968174002004, , , 6, , 3, 0
