Time, In, Type, Out, Served, Server, Current Jobs
2.940019875993437, 1, 2, , , , 1
7.405387926531436, 2, 1, , , , 2
8.234365085146425, 3, 3, , , , 3
10.06152123249927, 4, 1, , , , 4
10.137505665213174, , , , 1, 1, 4
11.609817635667557, , , 1, , 3, 3
12.38495638965721, 5, 2, , , , 4
12.386463448925822, , , , 5, 2, 4
13.245917667595299, 6, 1, , , , 5
13.737372000474316, , , 5, , 3, 4
14.155844879309315, , , , 2, 1, 4
14.625849069045728, , , 2, , 3, 3
15.472028330670875, , , , 3, 1, 3
17.156300115965532, 7, 1, , , , 4
17.930735767227898, , , 3, , 3, 3
18.082928325853082, , , , 4, 1, 3
18.90917317137309, , , , 6, 1, 3
19.05634416184699, , , 4, , 3, 2
19.522769085971163, , , 6, , 3, 1
20.570584655837944, 8, 1, , , , 2
20.684482594823447, , , , 7, 1, 2
21.42801851783959, , , 7, , 3, 1
21.94858528678244, 9, 3, , , , 2
23.41545805783699, 10, 2, , , , 3
24.014435392009762, , , , 8, 2, 3
24.228145653729992, , , 8, , 3, 2
25.538494543767445, 11, 1, , , , 3
25.945094112619625, 12, 3, , , , 4
26.931744816701016, 13, 2, , , , 5
27.478607482589958, , , , 10, 1, 5
27.859716826850324, , , 10, , 3, 4
28.953205100454, 14, 1, , , , 5
29.18345195502828, , , , 9, 2, 5
29.27828778406299, , , 9, , 3, 4
30.620379377960422, 15, 3, , , , 5
33.888239165457684, , , , 11, 2, 5
34.55547601561649, , , 11, , 3, 4
34.7380401849574, , , , 14, 2, 4
34.88984940577428, , , 14, , 3, 3
35.11761455651803, , , , 15, 2, 3
38.14399172048678, 16, 3, , , , 4
39.30578921001811, , , 15, , 3, 3
42.66913420744166, 17, 1, , , , 4
44.52596579384149, , , , 12, 1, 4
45.16837652160289, 18, 2, , , , 5
45.192559410407135, , , , 13, 1, 5
45.57317747713077, , , , 16, 2, 5
46.0227461422509, , , , 17, 2, 5
46.341920739274286, , , 12, , 3, 4
46.40228251524494, , , 13, , 3, 3
46.554328198061924, , , , 18, 1, 3
47.327334595933564, , , 16, , 3, 2
47.76053001321219, , , 17, , 3, 1
48.557547337607645, , , 18, , 3, 0
